SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,19811.7371410301932199
ETH,Ethereum,1555.0557069295122946
USDT,Tether,1.0004897473902819
USDC,USD Coin,1.0006439559377630
BNB,BNB,277.3425559085856502
BUSD,Binance USD,1.0004753867672807
ADA,Cardano,0.4837298782980201
XRP,XRP,0.3302890579158370
SOL,Solana,31.1721659886727379
DOT,Polkadot,7.2742580769870539
DOGE,Dogecoin,0.0625417432302085
MATIC,Polygon,0.8814947711688808
DAI,Multi Collateral DAI,1.0006012468889339
SHIB,Shiba Inu,0.0000123172066092
LUNA,Terra,1.8313419009353840
TRX,TRON,0.0630428109840322
AVAX,Avalanche,18.8828992520597550
LEO,UNUS SED LEO,5.2284061827344255
WBTC,Wrapped Bitcoin,19818.3782701442024508
UNI,Uniswap,6.3105069478249451
ETC,Ethereum Classic,32.4008906024556398
LTC,Litecoin,60.9864178322299860
FTT,FTX Token,26.1568649470633784
LINK,Chainlink,6.8218468490493841
NEAR,NEAR Protocol,4.1661366672267034
ATOM,Cosmos,12.5300435175633736
CRO,Crypto.com Coin,0.1190391028668381
XMR,Monero,153.8729665374775563
XLM,Stellar,0.1047037679394624
BCH,Bitcoin Cash,118.2025860490770740
ALGO,Algorand,0.3022641038554871
BTCB,Bitcoin BEP2,19796.9523491090695349
FLOW,Flow,1.9385046124065246
FIL,Filecoin,6.4138729162494107
VET,VeChain,0.0241589021915967
ICP,Internet Computer,6.4848629557235733
EOS,EOS,1.5231622230381234
FRAX,Frax,0.9971126812075740
MANA,Decentraland,0.7826476160810690
XTZ,Tezos,1.5113726804944410
SAND,The Sandbox,0.9273363257207953
CHZ,Chiliz,0.2157270690444941
AXS,Axie Infinity,15.1715552210666908
AAVE,Aave,86.9777335870897578
EGLD,Elrond,51.6688306831780804
THETA,THETA,1.1446901029257923
QNT,Quant,92.6050750997617494
TUSD,TrueUSD,1.0000574258941713
BSV,Bitcoin SV,52.6461303798422766
ZEC,Zcash,64.1693439429076160
USDP,Pax Dollar,1.0002567318701842
OKB,OKB,15.4978425191511341
HBAR,Hedera Hashgraph,0.0615814688102324
KCS,KuCoin Token,9.1509656535497388
XEC,eCash,0.0000443156994784
MIOTA,IOTA,0.2816550749378202
MKR,Maker,744.7226747916029125
HT,Huobi Token,4.7288254556331022
GRT,The Graph,0.1018116920031600
KLAY,Klaytn,0.2293232398023526
SNX,Synthetix,2.9279312624386400
FTM,Fantom,0.2685058738253498
NEO,Neo,9.1819963663554191
LDO,Lido DAO,2.0289007195064942
RUNE,THORChain,1.8880234533324875
NEXO,Nexo,1.0303219012251039
HNT,Helium,4.5341111916114532
CRV,Curve DAO Token,1.0718025721627905
CAKE,PancakeSwap,3.9837251232976268
PAXG,PAX Gold,1704.1235187811833727
ENJ,Enjin Coin,0.5183355899213125
DASH,Dash,46.7284818725064573
BAT,Basic Attention Token,0.3363181736056935
WAVES,Waves,4.5195097742753681
STX,Stacks,0.3592410103208912
ZIL,Zilliqa,0.0357089308148318
LRC,Loopring,0.3539187730468249
MINA,Mina,0.6572305352722169
DCR,Decred,30.0068738550122833
KAVA,Kava,1.6857499666140755
KSM,Kusama,48.7942437704267203
BTG,Bitcoin Gold,23.1076018723930068
TWT,Trust Wallet Token,0.9596382917997208
1INCH,1inch Network,0.6849599707057796
GNO,Gnosis,154.2635778147104019
XEM,NEM,0.0435770194557974
FEI,Fei Protocol,0.9122774451491118
CELO,Celo,0.8286586580113706
YFI,yearn.finance,9725.6640364332878330
HOT,Holo,0.0020535438947618
KNC,Kyber Network,1.7098141165480954
GALA,Gala,0.0502003985116472
CEL,Celsius,1.4510704614917154
CVX,Convex Finance,5.1422092107093969
COMP,Compound,47.5230426542732563
GUSD,Gemini Dollar,0.9918394234584915
AR,Arweave,10.1746179519707392
GT,GateToken,4.2424758401163934
ANKR,Ankr,0.0344365727773308
QTUM,Qtum,3.1563658904370870
